Model Name,Date,Price,Information
판매(안전) 아이폰 13 미니 128G 미드나이트 리퍼,2024.06.12. 14:30,"380,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰12미니 128기가 화이트,2024.06.12. 14:27,"190,000원","제품정보
아이폰12미니 128기가 화이트
화면에 줄 두개있어요 기능문제 전혀 없어서 업무용이나 촬영용도로도 아주 조와요 카메라 조은폰
필름 붙여드리고 케이스 드려요
직거래선호합니다 위치는 경기도산본가능
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 -2197 7656"
판매(안전) 아이폰14프로 골드 256g 미국판 액정줄간거 팝니다.,2024.06.12. 14:25,"550,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
2012년 9월 구매했구요. 미국판이라 이심2개 개통가능합니다.
수리하고팔까하다 전에 팔아봅니다.
지역은 독립문입니다."
판매(안전) [미사용] 아이폰15프로맥스 512기가 화이트티타늄 자급제,2024.06.12. 14:19,"1,669,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰14 128GB 자급제 미개봉 퍼플,2024.06.12. 14:14,"850,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
아이폰14 128GB 자급제 미개봉 퍼플
직거래위치 구로구 궁동 / 금천구 가산동
안전거래 가능, 택배비 미포함
채팅알림이 잘 뜨지 않아 문자로 주시면 빠른 응답 가능합니다"
판매(안전) 아이폰12 블루색상,2024.06.12. 13:57,"255,000원","제품정보
아이폰12 블루색상 64기가
액정아주깨끗 테두리 약 사용감 사진첨부 성능 아주 조와서 촬영용도로도 아주 조와요
필름 붙여드리고 케이스 드려요
직거래선호합니다 위치는 경기도산본가능 기능아무 문제 없어요
유심만 넣으시면 통신사 및 요금제 상관없이 사용이가능합니다
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 -2197 -7656"
판매(안전) 아이폰13미니 256gb (리퍼),2024.06.12. 13:18,"720,000원","아이폰13미니 256gb 핑크 자급제 리퍼
리퍼 받아놓고 보관하고 있습니다
하자 당연히 없습니다 새거라고 생각 하시면 되요
배터리 성능 당연히 100%
의정부직거래 가능합니다
010 7316 787구 문자 주세요
네고 교환 안받습니다"
판매(안전) 미개봉 새상품 아이폰15프로맥스 512 자급제 블랙티타늄,2024.06.12. 12:58,"1,800,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰se2 s급 화이트,2024.06.12. 12:56,"150,000원","아이폰se2 s급 화이트 64기가 배터리84%
s한개급 테두리 아주약 사용감 사진 첨부 상태 정말 조와요
기능문제 전혀 없어요
필름 붙여드리고 케이스 드려요
직거래선호합니다 위치는 경기도산본가능
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 -2197 7656"
판매(안전) [배터리99%]아이폰SE2무상AS90일가능[김포][중고폰],2024.06.12. 12:42,"199,000원","♥-안녕하세요[김포][풍무동][중고폰]입니다!♥
♥기능검수 침수검수 총10회실시중♥
♥항상 진실되게 판매하겠습니다♥
※직통:010-3033-1558※
☎휴대폰 010-3033-1558
＊직거래위치＊
→경기도 김포시 유현로238번길28[풍무동빈첸빌딩2층][중고나라]
상품명- 아이폰SE2 배터리100%
색상- 블랙/골드/래드/핑크
용량- 64G/128G
상태- A급양호파손없음100%
잔상-무잔상기능하자없음100%
해지-정상해지
구성- 기기단품+[기본구성품]소진시~
●SK,LG+U,KT,알뜰폰,선불폰 호환개통
●택배거래&직거래 가능
●대량구매시 할인가능
●중고품의 특성상 단순변심,고객 부주의에 의한 구매취소,환불 불가
●분실폰 100% 환불가능
●기능상 문제로 인한 AS,교품 7일이내 가능
[안전거래]중나앱연동>상품업로드>링크발송>상품확인>상품발송
[링크수발신] 010-3033-1558 중고폰추천
☎휴대폰 010-3033-1558 대량구매/업체/소매/도매문의주세요^^
#중고폰추천#감정동중고폰#걸포동중고폰#고촌읍중고폰#구래동중고폰#대곶면중고폰
#마산동중고폰#북변동중고폰#사우동중고폰#양촌읍중고폰#운양동중고폰#월곶면중고폰
#장기동중고폰#통진읍중고폰#풍무동중고폰#하성면중고폰#아라동중고폰#검단중고폰#
#김포본동중고폰#원당동중고폰#감정동중고폰#중고폰추천매장#중고폰사고팔때#중고폰매장추천
#김포중고폰수리점#중고폰할인매장#리퍼폰#자급제폰#학생폰#어르신폰#김포중고폰할인매장
#김포공항역중고폰#중고폰가게#중고폰도매#중고폰소매#중고폰수출#중고폰대량판매"
