가격,등급,용량,모델명
395000,B급,256GB,아이폰11프로맥스
130000,B급,64GB,아이폰X
160000,B급,32GB,아이폰4
150000,B급,16GB,아이폰3gs
1510000,S급,256GB,아이폰15프로맥스
500000,B급,256GB,아이폰12프로
180000,B급,64GB,아이폰x
480000,B급,128GB,아이폰12프로
720000,S급,128GB,아이폰14플러스
1220000,S급,256GB,아이폰15프로
600000,A급,256GB,아이폰14
1100000,B급,256GB,아이폰14프로
1380000,S급,256GB,아이폰15프로
900000,B급,256GB,아이폰14프로
1150000,B급,256GB,아이폰15프로
600000,B급,128GB,아이폰13미니
160000,B급,128GB,아이폰12미니
900000,B급,256GB,아이폰14프로
1570000,S급,512GB,아이폰15프로맥스
370000,B급,64GB,아이폰SE3
730000,B급,256GB,아이폰13미니
300000,B급,128GB,아이폰12
800000,S급,128GB,아이폰14
1290000,S급,256GB,아이폰15프로
1300000,B급,256GB,아이폰15프로
419000,S급,128GB,아이폰13미니
450000,A급,128GB,아이폰13
317000,B급,128GB,아이폰12
1070000,B급,256GB,아이폰15플러스
1050000,B급,256GB,아이폰15플러스
165000,B급,256GB,아이폰8
250000,B급,128GB,아이폰12
1200000,B급,256GB,아이폰15프로
270000,A급,128GB,아이폰12미니
285000,B급,64GB,아이폰11프로
450000,B급,128GB,아이폰13미니
150000,B급,128GB,아이폰SE2
270000,B급,128GB,아이폰12미니
530000,B급,128GB,아이폰14
950000,B급,128GB,아이폰15플러스
1110000,B급,128GB,아이폰15프로
1000000,B급,256GB,아이폰15
620000,B급,128GB,아이폰14
930000,B급,256GB,아이폰14프로
450000,B급,128GB,아이폰12프로
460000,B급,128GB,아이폰13미니
500000,B급,256GB,아이폰12프로
500000,B급,128GB,아이폰13
800000,B급,256GB,아이폰15
850000,B급,512GB,아이폰13프로맥스
400000,B급,256GB,아이폰13미니
380000,B급,256GB,아이폰12프로
570000,B급,256GB,아이폰13프로
1530000,S급,256GB,아이폰15프로맥스
1380000,S급,256GB,아이폰15프로
1300000,S급,256GB,아이폰15프로
1050000,S급,128GB,아이폰15프로
1300000,B급,256GB,아이폰15프로
100000,B급,64GB,아이폰6s
290000,B급,128GB,아이폰12
1380000,B급,256GB,아이폰15프로맥스
1380000,S급,256GB,아이폰15프로
180000,B급,128GB,아이폰12미니
600000,S급,128GB,아이폰12프로
820000,B급,128GB,아이폰14프로
110000,B급,128GB,아이폰SE2
1130000,S급,128GB,아이폰14프로
1520000,S급,256GB,아이폰15프로맥스
320000,A급,256GB,아이폰X
86000,B급,32GB,아이폰7
220000,B급,256GB,아이폰11
