Model Name,Date,Price,Information,Capacity
판매(안전) A2628] 아이폰 13미니 핑크 128G S급 40만원 사은품포함/09010,2024-06-09 20:59:00,400000,"제품정보 여우폰
＠ 모델명 : 아이폰 13미니 / A2628 / 128G / 82%
＠ 색상: 핑크
＠ 판매가격 : 40만원 (사은품포함가격)
＠ 호환 통신사 : 쓰던 유심 그대로 [LTE or 선불 or 알뜰유심] 등 모든 유심 사용가능 / 25% 선택 약정 가능
＠ 구성품 : 기기 + 사은품
제품설명
＠ 상태 : S급으로 잔상없으며 최상의 컨디션인 제품으로 초등학생, 부모님 선물용으로도 추천드립니다
아래 보정 없이 직접 찍은 하단 사진 참조 해주세요
.............[제품 번호 - 09010]
＠ 사은품 : 젤리케이스,일반 강화유리, 유심핀 (안전결재 시 사은품X)
＠ 데이터 이전 : 문자,사진,카톡,어플 등-무료로 모든 데이터 이전
＠ 중고폰 매입 : 기존 중고폰 최고가로 매입 해드립니다(깨지고 고장난 폰도 가능합니다)
＠ 유심 개통 : 선불유심, 알뜰유심 개통 가능합니다
＠ 거래방식 : 택배거래 or 퀵 or 안전결재 시에는 꼭 문의 (수수료는 구매자 부담) / 배송비별도
정보
＠ 주소 및 영업시간 : 서울시 중랑구 면목동 383-23번지 편의점 2층 ""여우폰""
＠ 문의 전화 : 010- 9017 - 8851
＠ 카카오톡 ID: foxphone 또는 모바일전용 카카오 상담 (클릭)
(댓글과 쪽지는 잘 확인 못하니 전화 or 문자 or 카카오톡 연락 부탁드려요)
-늦은 시간에도 문자나 카톡 남겨주시면 다음날 오전에 연락드립니다-
게임용 or 센터판(삼성정식 리퍼폰 풀박스) 제품도 가능하며 별도 문의 부탁드립니다
다른 제품 더 보러 가기
＠ 중고나라 앱 : 여우폰 검색 후 가계 검색
＠ 모바일 : 여우폰 검색 후 [글+댓글]로 설정
＠ PC : 하단 배너 클릭",128G
판매(안전) A2628] 아이폰 13미니 핑크 128G S급 40만원 사은품포함/09010,2024-06-09 20:53:00,400000,"제품정보 여우폰
＠ 모델명 : 아이폰 13미니 / A2628 / 128G / 82%
＠ 색상: 핑크
＠ 판매가격 : 40만원 (사은품포함가격)
＠ 호환 통신사 : 쓰던 유심 그대로 [LTE or 선불 or 알뜰유심] 등 모든 유심 사용가능 / 25% 선택 약정 가능
＠ 구성품 : 기기 + 사은품
제품설명
＠ 상태 : S급으로 잔상없으며 최상의 컨디션인 제품으로 초등학생, 부모님 선물용으로도 추천드립니다
아래 보정 없이 직접 찍은 하단 사진 참조 해주세요
.............[제품 번호 - 09010]
＠ 사은품 : 젤리케이스,일반 강화유리, 유심핀 (안전결재 시 사은품X)
＠ 데이터 이전 : 문자,사진,카톡,어플 등-무료로 모든 데이터 이전
＠ 중고폰 매입 : 기존 중고폰 최고가로 매입 해드립니다(깨지고 고장난 폰도 가능합니다)
＠ 유심 개통 : 선불유심, 알뜰유심 개통 가능합니다
＠ 거래방식 : 택배거래 or 퀵 or 안전결재 시에는 꼭 문의 (수수료는 구매자 부담) / 배송비별도
정보
＠ 주소 및 영업시간 : 서울시 중랑구 면목동 383-23번지 편의점 2층 ""여우폰""
＠ 문의 전화 : 010- 9017 - 8851
＠ 카카오톡 ID: foxphone 또는 모바일전용 카카오 상담 (클릭)
(댓글과 쪽지는 잘 확인 못하니 전화 or 문자 or 카카오톡 연락 부탁드려요)
-늦은 시간에도 문자나 카톡 남겨주시면 다음날 오전에 연락드립니다-
게임용 or 센터판(삼성정식 리퍼폰 풀박스) 제품도 가능하며 별도 문의 부탁드립니다
다른 제품 더 보러 가기
＠ 중고나라 앱 : 여우폰 검색 후 가계 검색
＠ 모바일 : 여우폰 검색 후 [글+댓글]로 설정
＠ PC : 하단 배너 클릭",128G
판매(안전) 아이폰11프로 256 카메라 무음,2024-06-09 20:36:00,330000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰7플러스 128기가 블랙,2024-06-09 20:24:00,140000,"아이폰7플러스 128기가 블랙
아주 약사용감정도라 깨끗해요
필름 붙어있어요 케이스드려요
3사 호환 가능하며 유심만 너으시면 바로 사용가능합니다
기능 아무 문제 없이 잘작동 됩니다
군포시 산본동 직거래가능
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 - 2197-7656",128기가
판매(안전) 아이폰12미니 그린 128기가 아주깔끔,2024-06-09 20:21:00,270000,"아이폰12미니 그린 128기가 아주깔끔
사진보시면 테두리 아주 약 사용감정도라 상태 조와요
필름 붙여드리고 케이스드려요 기능문제 전혀 없어요
산본 직거래가능 택배가능 비용은 별도 (4,000원)
01021977656 (택배비4천원별도) 5시이전은 빠른택배 당일 발송가능 5시이후는 cj대한통운 발송가능합니다",128기가
판매(안전) 아이폰 15 프로맥스 256G 블랙티타늄 자급제 미개봉,2024-06-09 20:09:00,1650000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰 15프로맥스 256G 내추럴티타늄 단순개봉,2024-06-09 20:08:00,1550000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰 15 블루 256,2024-06-09 20:02:00,1100000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰13미니 아주깔끔 블랙 128기가,2024-06-09 19:58:00,380000,"아이폰13미니 아주깔끔 블랙 128기가
테두리 아주 약 사용감뿐 사진참고
잔상 없어요
필름 붙여드려요 케이스 드려요
모든 통신사 유심너으면 바로 사용되세요 기능문제 없습니다
직거래 산본동 가능 택배도 가능합니다 택배비별도로 가능해요 퀵도 가능 01021977656
(택배비4천원별도) 5시이전은 빠른택배 당일 배송 가능 합니다 5시이후는 cj대한통운으로 가능합니다",128기가
판매(안전) 아이폰12미니 128기가 화이트,2024-06-09 19:53:00,190000,"제품정보
아이폰12미니 128기가 화이트
화면에 줄 두개있어요 기능문제 전혀 없어서 업무용이나 촬영용도로도 아주 조와요 카메라 조은폰
필름 붙여드리고 케이스 드려요
직거래선호합니다 위치는 경기도산본가능
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 -2197 7656",128기가
판매(안전) 아이폰 15 프로맥스 256G 블랙티타늄 자급제 미개봉,2024-06-09 19:44:00,1650000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰 15프로맥스 256G 내추럴티타늄 단순개봉,2024-06-09 19:43:00,1550000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰11프로맥스 ss급,2024-06-09 19:43:00,340000,"아이폰11프로맥스 ss급 64기가
ss급 테두리 약 기스정도뿐 필름 붙여드려요 케이스 드려요 카메라조와서 촬영용도로도 아주조와요
'패이스아이디 안되요 쓰시는데 지장 없어요
상태 아주 깨긋합니다
모든 통신사 유심너으면 바로 사용되세요 기능문제 없습니다
직거래 조와요 택배도 가능합니다 택배비별도로 가능해요 퀵도 가능 01021977656
(택배비4천원별도) 5시이전은 빠른택배 당일 배송 가능 합니다 5시이후는 cj대한통운으로 가능합니다",64기가
판매(안전) 아이폰15 핑크 128GB 애플케어플러스적용 자급제 판매합니다,2024-06-09 19:27:00,900000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰 14프로맥스 256기가 실버 (애케플 가입) 자급제 판매합니다.,2024-06-09 19:26:00,1100000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰13프로(256/무음)물리+esim 둘다가능 수원용인 직거래,2024-06-09 19:22:00,700000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────


2024년 6월 5일 내고문의 사절 판매중임
아이폰13 프로 / 해외버젼 무음 (본품 박스 있어요)
( 음소거시 사진 촬칵 소리가 나지 않습니다)
색상: 시에라 블루
용량 : 256
배터리 : 86% (24/05/28기준)
유심지원 : 물리/ esim 동시 가능
애플케어플러스 : 없음
파손유뮤 : 없음
스크래치 : 찾이보기 힘듬.
케이스 : 실리콘 케이스(정품아님)
/ 정품 실리콘 (사용감많음)
필름: 사생활보호필름/ 일반필름 있음
현재 15프로 기변해서
판매중
파손 전혀 없어서 특이사항 딱히 없네요",Unknown
판매(안전) 아이폰12미니 256기가 아주상태 깔끔,2024-06-09 19:12:00,290000,"아이폰12미니 256기가 아주상태 깔끔 블랙
테두리 아주 아주 약한 사용감이라 상태 정말 조와요 필름 붙여드리고 케이스드려요
모든 통신사 유심너으면 바로 사용되세요 기능문제 없습니다
직거래 조와요 택배도 가능합니다 택배비별도로 가능해요 퀵도 가능 01021977656
(택배비4천원별도) 5시이전은 빠른택배 당일 배송 가능 합니다 5시이후는 cj대한통운으로 가능합니다",256기가
판매(안전) 아이폰 7 부품용,2024-06-09 19:11:00,15000,"전원 안켜지는게 메인보드 고장으로 추정되며 액정은 사진처럼 파손되었습니다
다른 부품들은 온전히 작동되며(메인보드 바꿔봄) 배터리도 정품인데 96% 성능상태입니다
홈버튼도 해당 메인보드에 맞는 홈버튼이라 메인보드 고치면 홈버튼 사용 가능
테이프는 액정 결합에 필요한 나사들 모아둔겁니다
부품용으로 1.5만원에 넘깁니다
반택가능",Unknown
판매(안전) 아이폰12미니 SSS급 128기가 블루,2024-06-09 19:05:00,310000,"아이폰12미니 SSS급 128기가 블루
잔상없고 기능문제 없어요
케이스 드려요 필름 붙여드려요
01021977656
모든 통신사 유심너으면 바로 사용되세요 기능문제 없습니다
직거래 조와요 택배도 가능합니다 택배비별도로 가능해요 퀵도 가능",128기가
판매(안전) 아이폰15pro 128 자급제(미개봉)팝니다!!,2024-06-09 18:53:00,1200000,"모델명 : 아이폰15 pro
용량 : 128GB
색상 : 블랙 티타늄
가격 : 1,200,000
자급제 미개봉입니다.
3사 통신사 모두 이용가능합니다!
부천 옥길동 또는 광사 또는 천왕역 직거래 합니다!
타지역은 택배 보내드립니다!",128GB
판매(안전) 아이폰12 블루색상,2024-06-09 18:52:00,255000,"제품정보
아이폰12 블루색상 64기가
액정아주깨끗 테두리 약 사용감 사진첨부 성능 아주 조와서 촬영용도로도 아주 조와요
필름 붙여드리고 케이스 드려요
직거래선호합니다 위치는 경기도산본가능 기능아무 문제 없어요
유심만 넣으시면 통신사 및 요금제 상관없이 사용이가능합니다
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 -2197 -7656",64기가
판매(안전) [가겍내림] 아이폰13프로 1테라 골드 자급제 판매. 보증기간 유,2024-06-09 18:33:00,880000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────


구성품 : 박스풀센
추가 : 케이스
보증기간 : 25년 3월 7일
판매가 : 105
자급제이며 기존 미니 사용하기 위해 판매합니다.
흠집 없는 A급입니다. 단순변심 환불불가",Unknown
판매(안전) 아이폰 15 프로맥스 256G 블랙티타늄 자급제 미개봉,2024-06-09 18:12:00,1650000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰 15프로맥스 256G 내추럴티타늄 단순개봉,2024-06-09 18:11:00,1550000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰 15 프로맥스 256G 블랙티타늄 자급제 미개봉,2024-06-09 17:52:00,1650000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰 15프로맥스 256G 내추럴티타늄 단순개봉,2024-06-09 17:51:00,1550000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰se2 sss급 128기가 화이트,2024-06-09 17:49:00,170000,"아이폰se2 sss급 128기가 화이트
sss급 정말 아주 아주 약한 사용감정도
필름 붙여드리고 케이스 드려요
모든 통신사 유심너으면 바로 사용되세요 기능문제 없습니다
직거래 산본가능 택배도 가능합니다 택배비별도로 가능해요 퀵도 가능 01021977656
(택배비4천원별도) 5시이전은 빠른택배 당일 배송 가능 합니다 5시이후는 cj대한통운으로 가능합니다",128기가
판매(안전) 아이폰 X 256기가 실버 팝니다,2024-06-09 17:38:00,65000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
판매(안전) 아이폰13 그린 256기가 상태좋은 중고 판매합니다.,2024-06-09 17:31:00,570000,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.

───────────────────

",Unknown
